Unnamed: 0,pth,label,relFCs,subset
0,anger/image0000006.jpg,surprise,0.8731421290934949,Test
1,anger/image0000060.jpg,anger,0.852310783018639,Test
2,anger/image0000061.jpg,anger,0.80095684657714,Test
3,anger/image0000066.jpg,disgust,0.8430792768021197,Test
4,anger/image0000106.jpg,anger,0.8491084661862777,Test
5,anger/image0000132.jpg,anger,0.8194483454798387,Test
6,anger/image0000138.jpg,anger,0.8520518574751808,Test
7,anger/image0000182.jpg,anger,0.8414882854744647,Test
8,anger/image0000195.jpg,anger,0.8231325554226703,Test
9,anger/image0000213.jpg,anger,0.8724308397570707,Test
10,anger/image0000228.jpg,anger,0.8122761639871947,Test
11,anger/image0000294.jpg,anger,0.8391113879323415,Test
12,anger/image0000333.jpg,anger,0.7536217387529814,Test
13,anger/image0000343.jpg,disgust,0.8703511856366929,Test
14,anger/image0000346.jpg,fear,0.8571789295428658,Test
15,anger/image0000356.jpg,sad,0.8218456022564528,Test
16,anger/image0000368.jpg,disgust,0.8260487408813072,Test
17,anger/image0000374.jpg,disgust,0.8307078392851691,Test
18,anger/image0000390.jpg,anger,0.8023954750702706,Test
19,anger/image0000399.jpg,anger,0.7844882099304229,Test
20,anger/image0000407.jpg,anger,0.847243020477899,Test
21,anger/image0000415.jpg,anger,0.7360272419661058,Test
22,anger/image0000416.jpg,anger,0.896066276081331,Test
23,anger/image0000441.jpg,sad,0.7928996288166676,Test
24,anger/image0000450.jpg,anger,0.7732496988962118,Test
25,anger/image0000470.jpg,surprise,0.8255568995050376,Test
26,anger/image0000511.jpg,anger,0.7896748553681358,Test
27,anger/image0000513.jpg,anger,0.7908538607156258,Test
28,anger/image0000593.jpg,anger,0.7958770100788126,Test
29,anger/image0000602.jpg,anger,0.8442329868334137,Test
30,anger/image0000690.jpg,sad,0.8537979787692912,Test
31,anger/image0000697.jpg,disgust,0.7897153908718793,Test
32,anger/image0000722.jpg,surprise,0.7125039995777563,Test
33,anger/image0000723.jpg,anger,0.7499107651584357,Test
34,anger/image0000758.jpg,anger,0.8115496891718968,Test
35,anger/image0000776.jpg,anger,0.7191419677617045,Test
36,anger/image0000908.jpg,anger,0.763828100944689,Test
37,anger/image0000923.jpg,disgust,0.7629544413637663,Test
38,anger/image0000932.jpg,anger,0.8476730489701948,Test
39,anger/image0000949.jpg,anger,0.7985818555028823,Test
40,anger/image0000963.jpg,anger,0.7932366750358332,Test
41,anger/image0000965.jpg,anger,0.8771937422265705,Test
42,anger/image0000972.jpg,anger,0.7781220459279947,Test
43,anger/image0000996.jpg,sad,0.7939921582791681,Test
44,anger/image0001015.jpg,disgust,0.7153702537940787,Test
